#Factid;question-type;question;answer
1;"Phylum";"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae";"Chordata"
2;"Family";"Uroplatus, Phelsuma";"Gekkonidae"
3;"Family";"Euplectus, Malimbus";"Ploceidae"
4;"Family";"Pterois, Sebastapistes";"Scorpaenidae"
5;"Family";"Siganus";"Siganidae"
6;"Genus";"Common flat-tail gecko, Satanic leaf-tailed gecko";"Uroplatus"
7;"Genus";"Blue-tailed day gecko, Yellow-headed day gecko, Mauritius ornate day gecko";"Phelsuma"
8;"Genus";"Red Bishop Weaver, Long-tailed widowbird";"Euplectes"
9;"Genus";"Taveta weaver, Black-billed weaver";"Malimbus"
10;"Genus;"Clearfin lionfish, Luna lionfish";"Pterois"
11;"Genus;"Yellow spotted scorpionfish, Barchin scorpionfish";"Sebastapistes"
12;"Genus;"Bicolored foxface, scribbled rabbitfish, goldspotted spinefoot, Magnificent rabbitfish";"Siganus"
13;"Species;"../species/13.png";"Common flat-tail gecko"
