trial,start_time,rt,correct,fact_id,question_type,question,answer,alpha
1,0.0,11103.161865234375,False,16,Species,../species/16.png,Blue-tailed day gecko,0.3
2,23824.9873046875,4606.392333984375,False,25,Species,../species/25.png,Barchin scorpionfish,0.3
3,39470.89892578125,1280.429931640625,True,16,Species,../species/16.png,Blue-tailed day gecko,0.3
4,47927.60693359375,1215.790771484375,True,25,Species,../species/25.png,Barchin scorpionfish,0.3
5,58266.3974609375,2269.252685546875,False,24,Species,../species/24.png,Yellow-spotted scorpionfish,0.3
6,71558.36499023438,1873.01416015625,False,19,Species,../species/19.png,Long-tailed widowbird,0.3
7,81895.3662109375,4768.0283203125,True,24,Species,../species/24.png,Yellow-spotted scorpionfish,0.3
8,97786.33911132812,3237.035888671875,False,15,Species,../species/15.png,Yellow-headed day gecko,0.3
9,108743.1005859375,2352.27197265625,True,19,Species,../species/19.png,Long-tailed widowbird,0.3
10,117679.65112304688,1463.75146484375,False,23,Species,../species/23.png,Luna lionfish,0.3
11,124519.32177734375,1872.322509765625,True,15,Species,../species/15.png,Yellow-headed day gecko,0.3
12,134329.4990234375,2397.654296875,False,27,Species,../species/27.png,Scribbled rabbitfish,0.3
13,151687.958984375,22239.40576171875,False,23,Species,../species/23.png,Luna lionfish,0.3
14,179887.73681640625,10359.812744140625,False,27,Species,../species/27.png,Scribbled rabbitfish,0.3
15,195655.349609375,2352.0078125,True,16,Species,../species/16.png,Blue-tailed day gecko,0.250390625
16,204231.65771484375,1591.06640625,True,25,Species,../species/25.png,Barchin scorpionfish,0.250390625
17,212792.45190429688,2559.0078125,True,24,Species,../species/24.png,Yellow-spotted scorpionfish,0.275390625
18,226207.306640625,2328.215087890625,False,22,Species,../species/22.png,Clearfin lionfish,0.3
19,239126.375,1944.99169921875,True,19,Species,../species/19.png,Long-tailed widowbird,0.250390625
20,247248.30883789062,1695.040283203125,True,15,Species,../species/15.png,Yellow-headed day gecko,0.250390625
21,257208.19775390625,10711.378173828125,False,22,Species,../species/22.png,Clearfin lionfish,0.3
22,282039.29736328125,5280.04345703125,False,14,Species,../species/14.png,Satanic leaf-tailed gecko,0.3
23,297440.3076171875,4999.03369140625,True,23,Species,../species/23.png,Luna lionfish,0.349609375
24,306935.4997558594,3440.10498046875,False,14,Species,../species/14.png,Satanic leaf-tailed gecko,0.3
25,328072.34814453125,5382.826416015625,True,27,Species,../species/27.png,Scribbled rabbitfish,0.349609375
26,343001.4885253906,7637.858642578125,False,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.3
27,356695.318359375,3888.01025390625,False,13,Species,../species/13.png,Common flat-tailed gecko,0.3
28,371681.8635253906,1941.71923828125,True,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.3
