trial,response,first,start_time,rt,correct,fact_id,question_type,question,answer,alpha
1,blue tailed day gecko,True,0.0,8513.714111328125,False,16,Species,./species/16.png,Blue-tailed day gecko,0.3
2,siganidae,True,28056.018798828125,6389.099365234375,False,5,Family,Siganus,Siganidae,0.3
3,blue tailed day gecko,False,45848.654052734375,2936.892822265625,True,16,Species,./species/16.png,Blue-tailed day gecko,0.3
4,siganidae,False,65266.11279296875,2514.99755859375,True,5,Family,Siganus,Siganidae,0.3
5,chordata,True,75560.58349609375,7482.595703125,False,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.3
6,long tailed widowbird,True,90182.12182617188,5967.39794921875,False,19,Species,./species/19.png,Long-tailed widowbird,0.3
7,,False,110286.76904296875,5967.39794921875,False,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.3
8,long tailed widowbird,False,137483.56909179688,1999.567626953125,True,19,Species,./species/19.png,Long-tailed widowbird,0.3
9,scorpaenidae,True,149949.44116210938,7920.02490234375,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.3
10,common flat tailed gecko,True,169882.2373046875,6154.853515625,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
11,scorpaenidae,False,190971.62646484375,20760.847412109375,True,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.3
12,straight tailed gecko,False,222167.49365234375,8810.474609375,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
13,blue tailed day gecko,False,247567.80688476562,2124.536376953125,True,16,Species,./species/16.png,Blue-tailed day gecko,0.250390625
14,siganidae,False,261720.78125,1827.69921875,True,5,Family,Siganus,Siganidae,0.250390625
15,chordatae,False,270624.9523925781,3186.750244140625,True,1,Phylum,"Gekkonidae, Ploceidae, Scorpaenidae, Siganidae",Chordata,0.275390625
16,long tailed widowbird,False,285215.2487792969,4795.71923828125,True,19,Species,./species/19.png,Long-tailed widowbird,0.349609375
17,,True,302929.86083984375,4795.71923828125,False,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.3
18,euplectes,True,309131.5693359375,9060.37890625,False,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.3
19,chordata,False,327017.9719238281,5967.31689453125,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.349609375
20,satanic leaftailed gecko,False,345430.0954589844,12950.091796875,True,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.3
21,euclepes,False,373048.6442871094,9482.10791015625,False,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.3
22,straight tailed gecko,False,394856.03173828125,2874.368896484375,False,13,Species,./species/13.png,Common flat-tailed gecko,0.349609375
23,long tailed widowbird,False,416413.5056152344,1812.105224609375,True,19,Species,./species/19.png,Long-tailed widowbird,0.30000000000000004
24,sipanidae,False,429144.90283203125,8091.88623046875,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.38828125
25,ploceidae,True,448952.75927734375,5733.073974609375,False,3,Family,"Euplectus, Malimbus",Ploceidae,0.3
26,sebatapistes,True,474915.4855957031,4998.83154296875,False,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.3
27,scorpanidae,False,491421.7888183594,5842.38037109375,False,3,Family,"Euplectus, Malimbus",Ploceidae,0.3
28,tailleafed gecko,False,511417.0783691406,36444.641845703125,False,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.349609375
29,pleucedes,False,561795.9594726562,12622.054931640625,False,11,Genus,"Yellow spotted scorpionfish, Barchin scorpionfish",Sebastapistes,0.3
30,common tail gecko,False,586540.1369628906,2889.986328125,False,13,Species,./species/13.png,Common flat-tailed gecko,0.375
31,pleucedes,False,619860.4733886719,10107.014404296875,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.41289062500000007
32,eupledes,False,638093.1430664062,14746.630859375,True,8,Genus,"Red Bishop Weaver, Long-tailed widowbird",Euplectes,0.349609375
33,satanic leaftailed gecko,False,658197.8505859375,8013.7978515625,True,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.384375
