trial,response,first,start_time,rt,correct,fact_id,question_type,question,answer,alpha
1,Bicolored foxface,True,0.0,10630.32177734375,False,26,Species,./species/26.png,Bicolored foxface,0.3
2,Taveta weaver,True,20834.920166015625,4443.90283203125,False,20,Species,./species/20.png,Taveta weaver,0.3
3,bicolored foxface,False,30636.35400390625,1226.658203125,True,26,Species,./species/26.png,Bicolored foxface,0.3
4,Siganidae,True,37010.737548828125,5020.56689453125,False,5,Family,Siganus,Siganidae,0.3
5,something weaver,False,46699.9892578125,7086.464111328125,False,20,Species,./species/20.png,Taveta weaver,0.3
6,Pterois,True,62266.83984375,7904.886474609375,False,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.3
7,Siganae,False,74050.91870117188,1524.281982421875,True,5,Family,Siganus,Siganidae,0.3
8,Scorpaenidae,True,78983.81420898438,3084.38671875,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.3
9,.,False,87098.36157226562,9190.680908203125,False,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.3
10,Common flat-tailed gecko,True,101545.45288085938,2360.595703125,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
11,Sebastapistae,False,111238.44970703125,3155.4560546875,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.3
12,Yellow-headed day gecko,True,124849.1171875,1987.09326171875,False,15,Species,./species/15.png,Yellow-headed day gecko,0.3
13,Common tailed gecko,False,132857.44848632812,1337.8984375,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
14,Clearfin lionfish,True,141334.58447265625,1643.61865234375,False,22,Species,./species/22.png,Clearfin lionfish,0.3
15,Colored gecko,False,147349.57470703125,1878.650146484375,False,15,Species,./species/15.png,Yellow-headed day gecko,0.3
16,Tailfish,False,155221.302734375,13482.351806640625,False,26,Species,./species/26.png,Bicolored foxface,0.349609375
17,Clownfish,False,172704.19067382812,5650.716064453125,False,22,Species,./species/22.png,Clearfin lionfish,0.3
18,Yellow weaver,False,183961.78784179688,7606.880126953125,False,20,Species,./species/20.png,Taveta weaver,0.349609375
19,Satanic leaf-tailed gecko,True,196367.75,2306.787109375,False,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.3
20,Siganidae,False,203932.29223632812,1470.13232421875,True,5,Family,Siganus,Siganidae,0.250390625
21,Pterotidae,False,209470.03540039062,3744.52001953125,False,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.349609375
22,Satanic double-tailed gecko,False,218593.14184570312,10076.905517578125,False,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.3
23,Yellow-spotted scorpionfish,True,236645.78979492188,3537.1962890625,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.3
24,Sebastapistae,False,247898.35473632812,6501.440673828125,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.349609375
25,.,False,270025.3195800781,14686.778564453125,False,26,Species,./species/26.png,Bicolored foxface,0.39374999999999993
26,.,False,287256.2880859375,39096.259765625,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.3
27,Common leaf-tailed gecko,False,329644.3283691406,3135.54931640625,False,13,Species,./species/13.png,Common flat-tailed gecko,0.349609375
28,Common weaver,False,339360.9050292969,10562.0009765625,False,20,Species,./species/20.png,Taveta weaver,0.39921874999999996
29,Yellow two-tailed gecko,False,353818.29638671875,7109.0361328125,False,15,Species,./species/15.png,Yellow-headed day gecko,0.349609375
30,Pterois,False,371414.6767578125,14227.45068359375,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.39921874999999996
31,Colored finfish,False,388900.1174316406,6797.426025390625,False,22,Species,./species/22.png,Clearfin lionfish,0.349609375
32,Common redfin,False,402140.3654785156,4010.04052734375,False,26,Species,./species/26.png,Bicolored foxface,0.418359375
33,Sebastapidae,False,413026.82421875,12926.958251953125,False,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.39921874999999996
34,Satanic two-tailed gecko,False,431593.0837402344,2392.616943359375,False,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.349609375
35,Tatanic weaver,False,441544.73974609375,6160.801025390625,False,20,Species,./species/20.png,Taveta weaver,0.4058593749999999
36,Pterois,False,467296.0539550781,6561.34423828125,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.412109375
37,Common two-tailed gecko,False,477377.3525390625,5046.63330078125,False,13,Species,./species/13.png,Common flat-tailed gecko,0.39921874999999996
38,Colored two-tailed gecko,False,488448.08251953125,5094.554443359375,False,15,Species,./species/15.png,Yellow-headed day gecko,0.39921874999999996
39,Fish,False,503868.7863769531,6944.8388671875,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.349609375
40,Scorpionidae,False,513676.9982910156,3656.88818359375,True,4,Family,"Pterois, Sebastapistes",Scorpaenidae,0.4042968749999999
41,Common finfish,False,528181.1118164062,1678.70068359375,False,26,Species,./species/26.png,Bicolored foxface,0.42578125
42,Common finfish,False,535461.4169921875,3798.806640625,False,22,Species,./species/22.png,Clearfin lionfish,0.39921874999999996
43,Satanic leaf-tailed gecko,False,544492.2294921875,2414.923583984375,True,14,Species,./species/14.png,Satanic leaf-tailed gecko,0.34921875
44,Common two-tailed gecko,False,552733.4572753906,14534.652099609375,False,13,Species,./species/13.png,Common flat-tailed gecko,0.40351562499999993
45,Color-day gecko,False,581913.7841796875,2630.55419921875,False,15,Species,./species/15.png,Yellow-headed day gecko,0.4058593749999999
46,Tataris weaver,False,595924.4572753906,5551.0322265625,False,20,Species,./species/20.png,Taveta weaver,0.43046874999999996
47,Pterois,False,606197.3537597656,7027.869140625,True,10,Genus,"Clearfin lionfish, Luna lionfish",Pterois,0.43671875000000004
