trial,response,first,start_time,rt,correct,fact_id,question_type,question,answer,alpha
1,luna lionfish,True,0.0,4406.86376953125,False,23,Species,./species/23.png,Luna lionfish,0.3
2,black-billed weaver,True,13128.250732421875,1671.406005859375,False,21,Species,./species/21.png,Black-billed weaver,0.3
3,luna lionsfish,False,20708.497802734375,1084.055908203125,True,23,Species,./species/23.png,Luna lionfish,0.3
4,yellow-spotted scorpionfish,True,26888.6728515625,1803.293212890625,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.3
5,black-billed weaver,False,39115.211669921875,1607.52099609375,True,21,Species,./species/21.png,Black-billed weaver,0.3
6,clearfin lionfish,True,47774.875732421875,1665.986083984375,False,22,Species,./species/22.png,Clearfin lionfish,0.3
7,d,False,56699.03662109375,13596.557373046875,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.3
8,common flat-tailed gecko,True,72635.8876953125,1678.746337890625,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
9,flat-finned lionfish,False,83090.81372070312,8093.322998046875,False,22,Species,./species/22.png,Clearfin lionfish,0.3
10,red bishop weaver,True,103430.89477539062,3126.02587890625,False,18,Species,./species/18.png,Red Bishop Weaver,0.3
11,gecko,False,121711.26977539062,2501.659912109375,False,13,Species,./species/13.png,Common flat-tailed gecko,0.3
12,,False,127621.51098632812,2501.659912109375,False,18,Species,./species/18.png,Red Bishop Weaver,0.3
13,scribbled rabbitfish,True,133484.09985351562,1892.86181640625,False,27,Species,./species/27.png,Scribbled rabbitfish,0.3
14,blue-finned scorpionfish,False,141945.8798828125,8339.94873046875,False,23,Species,./species/23.png,Luna lionfish,0.349609375
15,yellow-headed day gecko,True,164293.9609375,1406.3759765625,False,15,Species,./species/15.png,Yellow-headed day gecko,0.3
16,,False,175183.40087890625,1406.3759765625,False,27,Species,./species/27.png,Scribbled rabbitfish,0.3
17,yellow breasted weaver,False,195461.89672851562,2353.106201171875,False,21,Species,./species/21.png,Black-billed weaver,0.349609375
18,gecko,False,206437.73388671875,2243.001220703125,False,15,Species,./species/15.png,Yellow-headed day gecko,0.3
19,scorpionfish,False,211699.34375,3451.0908203125,False,24,Species,./species/24.png,Yellow-spotted scorpionfish,0.349609375
20,clearfin lionfish,False,225534.5458984375,10088.36181640625,True,22,Species,./species/22.png,Clearfin lionfish,0.349609375
21,luna lionfish,False,242649.84594726562,1249.0908203125,True,23,Species,./species/23.png,Luna lionfish,0.30000000000000004
22,common gecko,False,249378.9697265625,1699.6650390625,False,13,Species,./species/13.png,Common flat-tailed gecko,0.349609375
23,,False,258560.9677734375,1699.6650390625,False,18,Species,./species/18.png,Red Bishop Weaver,0.349609375
24,bicolored foxface,True,262891.4548339844,2042.48095703125,False,26,Species,./species/26.png,Bicolored foxface,0.3
25,blue-tailed gecko,True,272538.7087402344,1687.129150390625,False,16,Species,./species/16.png,Blue-tailed day gecko,0.3
26,black-billed weaver,False,279142.85693359375,3178.94384765625,True,21,Species,./species/21.png,Black-billed weaver,0.365625
27,,False,292163.095703125,3178.94384765625,False,26,Species,./species/26.png,Bicolored foxface,0.3
